Mes,data science,machine learning,deep learning,categorical
2004-01-01,12,18,4,1
2004-02-01,12,21,2,1
2004-03-01,9,21,2,1
2004-04-01,10,16,4,1
2004-05-01,7,14,3,1
2004-06-01,9,17,3,1
2004-07-01,9,16,3,1
2004-08-01,7,14,3,1
2004-09-01,10,17,4,1
2004-10-01,8,17,4,1
2004-11-01,8,15,2,1
2004-12-01,8,16,2,1
2005-01-01,10,16,2,0
2005-02-01,9,14,3,0
2005-03-01,8,13,2,0
2005-04-01,8,12,3,0
2005-05-01,8,15,3,0
2005-06-01,8,12,3,0
2005-07-01,6,11,2,0
2005-08-01,9,10,2,0
2005-09-01,7,14,2,0
2005-10-01,7,16,3,0
2005-11-01,7,13,4,0
2005-12-01,5,13,2,0
2006-01-01,7,12,3,0
2006-02-01,7,12,3,0
2006-03-01,7,12,2,0
2006-04-01,7,12,2,0
2006-05-01,7,11,2,0
2006-06-01,6,10,2,0
2006-07-01,5,9,1,0
2006-08-01,6,9,2,0
2006-09-01,7,11,1,0
2006-10-01,6,11,2,0
2006-11-01,7,11,2,0
2006-12-01,4,9,3,0
2007-01-01,6,11,2,0
2007-02-01,7,11,3,0
2007-03-01,6,9,3,0
2007-04-01,5,10,3,0
2007-05-01,6,9,1,0
2007-06-01,6,9,2,0
2007-07-01,4,9,2,0
2007-08-01,5,9,3,0
2007-09-01,6,9,2,0
2007-10-01,6,11,2,0
2007-11-01,6,10,2,0
2007-12-01,5,8,3,0
2008-01-01,6,9,2,1
2008-02-01,6,9,2,1
2008-03-01,5,8,3,1
2008-04-01,6,10,2,1
2008-05-01,5,9,2,1
2008-06-01,5,8,2,1
2008-07-01,5,7,3,1
2008-08-01,5,7,1,1
2008-09-01,6,9,2,1
2008-10-01,6,10,2,1
2008-11-01,6,9,2,1
2008-12-01,5,8,2,1
2009-01-01,6,8,3,0
2009-02-01,6,9,3,0
2009-03-01,6,8,2,0
2009-04-01,6,9,3,0
2009-05-01,5,8,2,0
2009-06-01,5,8,2,0
2009-07-01,4,8,2,0
2009-08-01,5,8,2,0
2009-09-01,7,8,3,0
2009-10-01,6,9,2,0
2009-11-01,7,9,2,0
2009-12-01,6,8,2,0
2010-01-01,7,8,2,0
2010-02-01,7,9,2,0
2010-03-01,6,9,2,0
2010-04-01,6,9,2,0
2010-05-01,6,8,2,0
2010-06-01,5,8,2,0
2010-07-01,5,8,3,0
2010-08-01,5,8,2,0
2010-09-01,7,9,2,0
2010-10-01,6,9,3,0
2010-11-01,6,9,3,0
2010-12-01,5,9,2,0
2011-01-01,7,8,3,0
2011-02-01,6,9,2,0
2011-03-01,6,9,3,0
2011-04-01,6,9,2,0
2011-05-01,5,9,3,0
2011-06-01,5,8,2,0
2011-07-01,4,7,2,0
2011-08-01,5,8,2,0
2011-09-01,7,11,3,0
2011-10-01,7,12,3,0
2011-11-01,7,12,3,0
2011-12-01,6,10,2,0
2012-01-01,7,10,3,1
2012-02-01,7,11,3,1
2012-03-01,7,11,2,1
2012-04-01,6,11,3,1
2012-05-01,6,11,4,1
2012-06-01,6,10,3,1
2012-07-01,6,10,3,1
2012-08-01,7,10,3,1
2012-09-01,10,12,3,1
2012-10-01,8,13,4,1
2012-11-01,8,12,6,1
2012-12-01,6,11,4,1
2013-01-01,8,11,5,0
2013-02-01,8,12,4,0
2013-03-01,8,12,5,0
2013-04-01,9,13,6,0
2013-05-01,9,13,7,0
2013-06-01,8,12,5,0
2013-07-01,8,12,6,0
2013-08-01,9,11,6,0
2013-09-01,12,13,8,0
2013-10-01,11,16,7,0
2013-11-01,11,15,8,0
2013-12-01,10,14,8,0
2014-01-01,13,14,9,0
2014-02-01,12,16,10,0
2014-03-01,13,16,10,0
2014-04-01,13,17,10,0
2014-05-01,12,16,11,0
2014-06-01,12,15,10,0
2014-07-01,13,16,9,0
2014-08-01,16,16,11,0
2014-09-01,19,18,12,0
2014-10-01,17,18,12,0
2014-11-01,17,20,11,0
2014-12-01,16,18,17,0
2015-01-01,19,20,19,0
2015-02-01,18,21,20,0
2015-03-01,18,21,21,0
2015-04-01,20,24,19,0
2015-05-01,19,22,20,0
2015-06-01,20,24,23,0
2015-07-01,20,24,23,0
2015-08-01,23,23,22,0
2015-09-01,27,26,24,0
2015-10-01,25,27,24,0
2015-11-01,24,30,28,0
2015-12-01,22,28,28,0
2016-01-01,27,28,34,1
2016-02-01,27,32,34,1
2016-03-01,26,34,44,1
2016-04-01,27,34,44,1
2016-05-01,27,34,42,1
2016-06-01,27,36,46,1
2016-07-01,26,32,40,1
2016-08-01,29,34,41,1
2016-09-01,36,39,46,1
2016-10-01,33,42,52,1
2016-11-01,34,46,55,1
2016-12-01,33,46,59,1
2017-01-01,41,51,65,0
2017-02-01,42,56,69,0
2017-03-01,44,59,75,0
2017-04-01,42,61,76,0
2017-05-01,43,63,80,0
2017-06-01,43,65,78,0
2017-07-01,42,62,76,0
2017-08-01,47,64,84,0
2017-09-01,53,71,87,0
2017-10-01,53,75,89,0
2017-11-01,52,80,94,0
2017-12-01,48,72,91,0
2018-01-01,58,76,91,0
2018-02-01,57,80,93,0
2018-03-01,58,82,95,0
2018-04-01,58,82,95,0
2018-05-01,59,83,98,0
2018-06-01,57,81,90,0
2018-07-01,60,81,88,0
2018-08-01,64,82,87,0
2018-09-01,68,85,94,0
2018-10-01,70,90,97,0
2018-11-01,67,88,94,0
2018-12-01,61,81,87,0
2019-01-01,76,86,93,0
2019-02-01,77,93,95,0
2019-03-01,75,91,98,0
2019-04-01,77,92,98,0
2019-05-01,76,92,97,0
2019-06-01,80,93,96,0
2019-07-01,85,92,96,0
2019-08-01,88,93,92,0
2019-09-01,95,100,100,0
2019-10-01,90,98,98,0
2019-11-01,87,97,96,0
2019-12-01,81,89,91,0
2020-01-01,94,94,93,1
2020-02-01,100,99,99,1
